Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-06-11,72.4951,72.4951,72.4951,72.4951,0
1986-06-12,72.1081,72.1081,72.1081,72.1081,0
1986-06-13,73.1389,73.1389,73.1389,73.1389,0
1986-06-18,73.3918,73.3918,73.3918,73.3918,0
1986-06-19,73.0079,73.0079,73.0079,73.0079,0
1986-06-20,73.1389,73.1389,73.1389,73.1389,0
1986-06-23,73.3918,73.3918,73.3918,73.3918,0
1986-06-24,73.7757,73.7757,73.7757,73.7757,0
1986-06-25,74.4125,74.4125,74.4125,74.4125,0
1986-06-26,75.3143,75.3143,75.3143,75.3143,0
1986-06-27,74.9284,74.9284,74.9284,74.9284,0
1986-06-30,75.9502,75.9502,75.9502,75.9502,0
1986-07-01,75.5682,75.5682,75.5682,75.5682,0
1986-07-03,74.6735,74.6735,74.6735,74.6735,0
1986-07-04,74.0287,74.0287,74.0287,74.0287,0
1986-07-07,72.4951,72.4951,72.4951,72.4951,0
1986-07-08,71.2184,71.2184,71.2184,71.2184,0
1986-07-09,71.7223,71.7223,71.7223,71.7223,0
1986-07-10,72.3721,72.3721,72.3721,72.3721,0
1986-07-14,72.1081,72.1081,72.1081,72.1081,0
1986-07-15,72.4951,72.4951,72.4951,72.4951,0
1986-07-16,73.1389,73.1389,73.1389,73.1389,0
1986-07-17,74.4125,74.4125,74.4125,74.4125,0
1986-07-18,73.7757,73.7757,73.7757,73.7757,0
1986-07-21,74.2906,74.2906,74.2906,74.2906,0
1986-07-22,74.6735,74.6735,74.6735,74.6735,0
1986-07-24,73.3918,73.3918,73.3918,73.3918,0
1986-07-25,72.1081,72.1081,72.1081,72.1081,0
1986-07-28,72.7579,72.7579,72.7579,72.7579,0
1986-07-29,72.4951,72.4951,72.4951,72.4951,0
1986-07-30,73.6437,73.6437,73.6437,73.6437,0
1986-07-31,73.1389,73.1389,73.1389,73.1389,0
1986-08-01,73.3918,73.3918,73.3918,73.3918,0
1986-08-04,73.1389,73.1389,73.1389,73.1389,0
1986-08-05,77.6217,77.6217,77.6217,77.6217,0
1986-08-06,75.9502,75.9502,75.9502,75.9502,0
1986-08-07,75.3143,75.3143,75.3143,75.3143,0
1986-08-08,74.9284,74.9284,74.9284,74.9284,0
1986-08-11,75.9502,75.9502,75.9502,75.9502,0
1986-08-13,75.6982,75.6982,75.6982,75.6982,0
1986-08-14,76.8509,76.8509,76.8509,76.8509,0
1986-08-15,76.9848,76.9848,76.9848,76.9848,0
1986-08-18,78.1326,78.1326,78.1326,78.1326,0
1986-08-19,80.0551,80.0551,80.0551,80.0551,0
1986-08-21,81.3267,81.3267,81.3267,81.3267,0
1986-08-22,81.9755,81.9755,81.9755,81.9755,0
1986-08-26,83.6361,83.6361,83.6361,83.6361,0
1986-08-27,85.9406,85.9406,85.9406,85.9406,0
1986-08-28,85.3096,85.3096,85.3096,85.3096,0
1986-08-29,84.5309,84.5309,84.5309,84.5309,0
1986-09-01,83.6361,83.6361,83.6361,83.6361,0
1986-09-02,84.279,84.279,84.279,84.279,0
1986-09-03,84.9108,84.9108,84.9108,84.9108,0
1986-09-04,85.8126,85.8126,85.8126,85.8126,0
1986-09-05,88.1209,88.1209,88.1209,88.1209,0
1986-09-08,86.5874,86.5874,86.5874,86.5874,0
1986-09-09,85.8126,85.8126,85.8126,85.8126,0
1986-09-10,84.9108,84.9108,84.9108,84.9108,0
1986-09-11,83.905,83.905,83.905,83.905,0
1986-09-12,84.279,84.279,84.279,84.279,0
1986-09-15,85.1668,85.1668,85.1668,85.1668,0
1986-09-16,83.6361,83.6361,83.6361,83.6361,0
1986-09-17,83.3782,83.3782,83.3782,83.3782,0
1986-09-18,84.279,84.279,84.279,84.279,0
1986-09-19,83.6361,83.6361,83.6361,83.6361,0
1986-09-22,85.5656,85.5656,85.5656,85.5656,0
1986-09-23,85.8126,85.8126,85.8126,85.8126,0
1986-09-24,86.5874,86.5874,86.5874,86.5874,0
1986-09-25,84.6558,84.6558,84.6558,84.6558,0
1986-09-26,84.279,84.279,84.279,84.279,0
1986-09-29,83.905,83.905,83.905,83.905,0
1986-09-30,85.3096,85.3096,85.3096,85.3096,0
1986-10-01,86.5874,86.5874,86.5874,86.5874,0
1986-10-02,88.1209,88.1209,88.1209,88.1209,0
1986-10-03,87.2372,87.2372,87.2372,87.2372,0
1986-10-06,87.4821,87.4821,87.4821,87.4821,0
1986-10-07,88.4899,88.4899,88.4899,88.4899,0
1986-10-09,89.1437,89.1437,89.1437,89.1437,0
1986-10-10,87.741,87.741,87.741,87.741,0
1986-10-14,85.5656,85.5656,85.5656,85.5656,0
1986-10-15,86.2014,86.2014,86.2014,86.2014,0
1986-10-16,85.3096,85.3096,85.3096,85.3096,0
1986-10-20,84.9108,84.9108,84.9108,84.9108,0
1986-10-21,86.4574,86.4574,86.4574,86.4574,0
1986-10-22,86.2014,86.2014,86.2014,86.2014,0
1986-10-23,84.279,84.279,84.279,84.279,0
1986-10-24,82.7473,82.7473,82.7473,82.7473,0
1986-10-27,84.279,84.279,84.279,84.279,14834064.99331
1986-10-28,82.1015,82.1015,82.1015,82.1015,46844366.439657
1986-10-29,81.2097,81.2097,81.2097,81.2097,27325864.502303
1986-10-30,83.3782,83.3782,83.3782,83.3782,140533094.31766
1986-10-31,87.6111,87.6111,87.6111,87.6111,40598466.185029
1986-11-03,88.1209,88.1209,88.1209,88.1209,17956992.614738
1986-11-04,87.863,87.863,87.863,87.863,13272552.669909
1986-11-05,90.6803,90.6803,90.6803,90.6803,38256248.713269
1986-11-06,88.1209,88.1209,88.1209,88.1209,50747907.185383
1986-11-07,88.1209,88.1209,88.1209,88.1209,19518498.936569
